#    Z       m        H              D           He3            He4          C12         C13P          N14P          O16            Mrem     C13           N14
  0.0001    2.04   -0.189E+00   -0.287E-04    0.880E-04    0.127E+00    0.564E-01    0.000E+00    0.000E+00      0.469E-02       0.82   -0.846E-07   -0.329E-05
  0.0001    2.23   -0.182E+00   -0.297E-04    0.767E-04    0.126E+00    0.547E-01    0.000E+00    0.000E+00      0.459E-02       0.85   -0.876E-07   -0.340E-05
  0.0001    2.45   -0.168E+00   -0.313E-04    0.721E-04    0.113E+00    0.494E-01    0.000E+00    0.000E+00      0.418E-02       0.85   -0.924E-07   -0.359E-05
  0.0001    2.68   -0.146E+00   -0.315E-04    0.657E-04    0.996E-01    0.433E-01    0.000E+00    0.000E+00      0.368E-02       0.92    0.569E-05   -0.361E-05
  0.0001    2.94   -0.126E+00   -0.315E-04    0.585E-04    0.846E-01    0.374E-01    0.000E+00    0.000E+00      0.319E-02       1.01    0.175E-04   -0.361E-05
  0.0001    3.22   -0.962E-01   -0.325E-04   -0.311E-05    0.630E-01    0.206E-01    0.190E-02    0.677E-02      0.237E-02       1.04    0.151E-03   -0.372E-05
  0.0001    3.52   -0.619E-01   -0.337E-04   -0.203E-04    0.435E-01    0.311E-02    0.381E-02    0.146E-01      0.155E-02       1.05    0.277E-03   -0.386E-05
  0.0001    3.86   -0.670E-01   -0.352E-04   -0.213E-04    0.495E-01    0.188E-03    0.754E-03    0.170E-01      0.113E-02       1.03   -0.104E-06    0.183E-03
  0.0001    4.23   -0.720E-01   -0.364E-04   -0.220E-04    0.555E-01   -0.651E-05    0.437E-03    0.144E-01      0.705E-03       1.02   -0.107E-06    0.320E-03
  0.0001    4.63   -0.859E-01   -0.373E-04   -0.195E-04    0.730E-01    0.952E-03    0.169E-03    0.117E-01      0.453E-03       1.03    0.397E-05    0.119E-03
  0.0001    5.07   -0.118E+00   -0.379E-04   -0.174E-04    0.106E+00    0.907E-03    0.187E-03    0.129E-01      0.497E-03       1.07    0.452E-05    0.151E-03
  0.0001    5.56   -0.858E-01   -0.377E-04   -0.506E-05    0.805E-01    0.362E-03    0.817E-04    0.563E-02      0.166E-03       1.19    0.230E-05    0.158E-03
  0.0001    6.09   -0.645E-01   -0.378E-04    0.379E-05    0.646E-01   -0.118E-04    0.000E+00    0.000E+00     -0.338E-04       1.30    0.578E-06    0.159E-03
  0.0001    6.67   -0.838E-01   -0.386E-04   -0.409E-06    0.854E-01   -0.121E-04    0.000E+00    0.000E+00     -0.346E-04       1.30    0.589E-06    0.134E-03
  0.0001    7.30   -0.102E+00   -0.395E-04   -0.411E-05    0.105E+00   -0.123E-04    0.000E+00    0.000E+00     -0.353E-04       1.30    0.600E-06    0.111E-03
  0.0001    8.00   -0.119E+00   -0.402E-04   -0.766E-05    0.121E+00   -0.126E-04    0.000E+00    0.000E+00     -0.324E-04       1.30    0.610E-06    0.903E-04
  0.0004    0.82   -0.385E-03   -0.129E-04    0.534E-03   -0.243E-02   -0.161E-04    0.000E+00    0.000E+00     -0.461E-04       0.60   -0.152E-06   -0.590E-05
  0.0004    0.90   -0.446E-03   -0.149E-04    0.439E-03   -0.232E-02   -0.187E-04    0.000E+00    0.000E+00     -0.535E-04       0.62    0.968E-06   -0.657E-05
  0.0004    0.98    0.460E-02   -0.167E-04    0.492E-03   -0.894E-03   -0.208E-04    0.000E+00    0.000E+00     -0.597E-04       0.64    0.121E-06   -0.675E-05
  0.0004    1.08   -0.558E-03   -0.187E-04    0.440E-03   -0.206E-02   -0.233E-04    0.000E+00    0.000E+00     -0.669E-04       0.66    0.993E-07   -0.419E-05
  0.0004    1.18   -0.121E-01   -0.207E-04    0.318E-03    0.715E-02    0.365E-02    0.000E+00    0.000E+00      0.210E-03       0.67   -0.150E-07    0.541E-05
  0.0004    1.29   -0.674E-01   -0.238E-04    0.331E-03    0.459E-01    0.204E-01    0.000E+00    0.000E+00      0.164E-02       0.65   -0.281E-06   -0.109E-04
  0.0004    1.42   -0.104E+00   -0.254E-04    0.259E-03    0.696E-01    0.310E-01    0.000E+00    0.000E+00      0.251E-02       0.67   -0.299E-06   -0.116E-04
