#    Z       m        H              D           He3            He4          C12         O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0040    9.00   -0.138E+00   -0.408E-04   -0.909E-05    0.858E-01    0.952E-02     0.165E-01    0.171E-02    0.452E-03    0.407E-02    0.200E-02    0.344E-03    0.188E-01      1.35    0.229E-04    0.769E-03
  0.0040   12.00   -0.184E+00   -0.420E-04   -0.158E-04    0.734E-01    0.137E-01     0.574E-01    0.101E-01    0.297E-02    0.759E-02    0.329E-02    0.502E-03    0.141E-01      1.50    0.220E-04    0.774E-03
  0.0040   15.00   -0.205E+00   -0.422E-04   -0.188E-04    0.628E-01    0.155E-01     0.858E-01    0.940E-02    0.361E-02    0.128E-01    0.635E-02    0.863E-03    0.832E-02      1.82    0.199E-04    0.820E-03
  0.0040   20.00   -0.247E+00   -0.431E-04   -0.207E-04    0.416E-01    0.130E-01     0.146E+00    0.466E-02    0.208E-02    0.186E-01    0.988E-02    0.938E-03    0.959E-02      2.04    0.194E-04    0.737E-03
  0.0040   30.00   -0.190E+00   -0.368E-04   -0.194E-04    0.583E-01    0.102E-01     0.997E-01    0.170E-01    0.411E-02    0.694E-03   -0.204E-04   -0.522E-04    0.139E-03      6.98    0.102E-04    0.875E-03
  0.0040   40.00   -0.149E+00   -0.329E-04   -0.179E-04    0.630E-01    0.861E-02     0.518E-01    0.186E-01    0.534E-02    0.701E-05   -0.416E-04   -0.476E-04    0.132E-03     12.60    0.104E-04    0.864E-03
  0.0040   60.00   -0.820E-01   -0.282E-04   -0.154E-04    0.153E+00    0.578E-02     0.748E-01    0.105E-01    0.482E-02    0.248E-04   -0.243E-04   -0.392E-04    0.147E-03     24.70    0.910E-05    0.124E-02
  0.0040  100.00   -0.188E+00   -0.304E-04   -0.171E-04    0.107E+00    0.337E-02     0.687E-01    0.515E-02    0.358E-02    0.607E-05   -0.387E-04   -0.440E-04    0.121E-03     36.70    0.562E-05    0.110E-02
  0.0040  120.00   -0.258E+00   -0.339E-04   -0.195E-04    0.255E+00    0.634E-03     0.953E-05    0.216E-03   -0.172E-03    0.190E-04   -0.360E-04   -0.481E-04    0.157E-03     35.20    0.958E-05    0.171E-02
  0.0080    9.00   -0.134E+00   -0.408E-04   -0.687E-05    0.599E-01    0.278E-01     0.215E-01    0.927E-03   -0.166E-03    0.440E-02    0.290E-02    0.495E-03    0.154E-01      1.35    0.466E-04    0.126E-02
  0.0080   12.00   -0.184E+00   -0.421E-04   -0.104E-04    0.788E-01    0.129E-01     0.550E-01    0.992E-02    0.226E-02    0.772E-02    0.352E-02    0.489E-03    0.131E-01      1.48    0.458E-04    0.155E-02
  0.0080   15.00   -0.210E+00   -0.421E-04   -0.136E-04    0.695E-01    0.155E-01     0.843E-01    0.953E-02    0.286E-02    0.134E-01    0.639E-02    0.746E-03    0.798E-02      1.84    0.423E-04    0.156E-02
  0.0080   20.00   -0.245E+00   -0.431E-04   -0.183E-04    0.470E-01    0.125E-01     0.139E+00    0.535E-02    0.160E-02    0.184E-01    0.952E-02    0.861E-03    0.968E-02      2.04    0.413E-04    0.144E-02
  0.0080   30.00   -0.191E+00   -0.370E-04   -0.185E-04    0.590E-01    0.951E-02     0.994E-01    0.167E-01    0.391E-02    0.817E-03   -0.622E-04   -0.106E-03    0.280E-03      6.90    0.191E-04    0.159E-02
  0.0080   40.00   -0.156E+00   -0.330E-04   -0.145E-04    0.770E-01    0.797E-02     0.529E-01    0.164E-01   -0.296E-03    0.157E-04   -0.778E-04   -0.944E-04    0.268E-03     12.50    0.177E-04    0.162E-02
  0.0080   60.00   -0.349E+00   -0.434E-04   -0.218E-04    0.139E+00    0.121E+00     0.766E-01    0.862E-02    0.245E-02    0.703E-03   -0.732E-04   -0.124E-03    0.368E-03      5.69    0.234E-04    0.182E-02
  0.0080  100.00   -0.431E+00   -0.443E-04   -0.237E-04    0.120E+00    0.135E+00     0.666E-01    0.578E-02    0.697E-03    0.243E-03   -0.104E-03   -0.128E-03    0.345E-03      7.79    0.239E-04    0.200E-02
  0.0080  120.00   -0.422E+00   -0.440E-04   -0.237E-04    0.174E+00    0.165E+00     0.733E-01    0.532E-02    0.605E-04    0.875E-04   -0.927E-04   -0.125E-03    0.394E-03      9.89    0.300E-04    0.250E-02
  0.0200    9.00   -0.137E+00   -0.410E-04    0.554E-06    0.965E-01    0.551E-02     0.124E-01    0.217E-02   -0.706E-03    0.802E-02    0.636E-02    0.969E-03    0.626E-02      1.31    0.119E-03    0.353E-02
  0.0200   12.00   -0.186E+00   -0.422E-04   -0.510E-05    0.864E-01    0.115E-01     0.518E-01    0.103E-01    0.829E-03    0.879E-02    0.452E-02    0.515E-03    0.100E-01      1.44    0.113E-03    0.358E-02
  0.0200   15.00   -0.204E+00   -0.420E-04   -0.772E-05    0.718E-01    0.151E-01     0.771E-01    0.117E-01    0.934E-03    0.137E-01    0.574E-02    0.337E-03    0.647E-02      1.87    0.105E-03    0.349E-02
  0.0200   20.00   -0.242E+00   -0.429E-04   -0.979E-05    0.537E-01    0.113E-01     0.130E+00    0.107E-01    0.194E-02    0.163E-01    0.722E-02    0.482E-03    0.925E-02      2.11    0.777E-04    0.344E-02
  0.0200   30.00   -0.192E+00   -0.365E-04   -0.886E-05    0.661E-01    0.795E-02     0.961E-01    0.167E-01    0.285E-02    0.961E-03   -0.194E-03   -0.265E-03    0.694E-03      7.18    0.455E-04    0.343E-02
  0.0200   40.00   -0.355E+00   -0.455E-04   -0.157E-04    0.216E+00    0.729E-01     0.431E-01    0.338E-02   -0.638E-03    0.696E-02    0.323E-02    0.310E-05    0.327E-02      2.06    0.634E-04    0.423E-02
  0.0200   60.00   -0.405E+00   -0.463E-04   -0.192E-04    0.269E+00    0.793E-01     0.360E-01    0.230E-02   -0.698E-03    0.550E-02    0.239E-02   -0.744E-04    0.384E-02      2.09    0.629E-04    0.465E-02
  0.0200  100.00   -0.449E+00   -0.470E-04   -0.229E-04    0.285E+00    0.111E+00     0.343E-01    0.455E-02   -0.354E-03    0.320E-02    0.112E-02   -0.179E-03    0.245E-02      2.12    0.702E-04    0.574E-02
  0.0200  120.00   -0.453E+00   -0.472E-04   -0.171E-04    0.346E+00    0.690E-01     0.209E-01    0.291E-02   -0.719E-03    0.284E-02    0.100E-02   -0.203E-03    0.250E-02      2.11    0.689E-04    0.734E-02
  0.0500    9.00   -0.156E+00   -0.410E-04    0.203E-04    0.111E+00    0.592E-02     0.131E-01    0.388E-02   -0.232E-02    0.918E-02    0.700E-02    0.723E-03    0.722E-02      1.31    0.294E-03    0.742E-02
  0.0500   12.00   -0.199E+00   -0.420E-04    0.156E-04    0.928E-01    0.122E-01     0.558E-01    0.140E-01   -0.509E-03    0.919E-02    0.400E-02   -0.833E-06    0.106E-01      1.49    0.256E-03    0.726E-02
  0.0500   15.00   -0.214E+00   -0.417E-04    0.131E-04    0.716E-01    0.154E-01     0.860E-01    0.820E-02   -0.163E-02    0.179E-01    0.759E-02    0.853E-04    0.860E-02      1.98    0.258E-03    0.668E-02
  0.0500   20.00   -0.245E+00   -0.423E-04    0.113E-04    0.315E-01    0.122E-01     0.153E+00    0.206E-01    0.248E-02    0.138E-01    0.517E-02   -0.960E-04    0.747E-02      2.38    0.177E-03    0.628E-02
  0.0500   30.00   -0.320E+00   -0.448E-04    0.467E-05    0.186E+00    0.383E-01     0.592E-01    0.119E-01   -0.621E-03    0.665E-02    0.218E-02   -0.438E-03    0.579E-02      1.97    0.142E-03    0.840E-02
  0.0500   40.00   -0.358E+00   -0.461E-04    0.137E-05    0.264E+00    0.513E-01     0.123E-01    0.752E-02   -0.217E-02    0.308E-02    0.715E-03   -0.611E-03    0.493E-02      1.55    0.124E-03    0.946E-02
  0.0500   60.00   -0.379E+00   -0.466E-04   -0.174E-04    0.291E+00    0.537E-01     0.794E-02    0.747E-02   -0.226E-02    0.235E-02    0.188E-03   -0.722E-03    0.382E-02      1.70    0.121E-03    0.150E-01
  0.0500  100.00   -0.354E+00   -0.472E-04   -0.199E-04    0.296E+00    0.305E-01     0.261E-03    0.594E-02   -0.258E-02    0.153E-02   -0.138E-03   -0.771E-03    0.342E-02      1.68    0.124E-03    0.152E-01
  0.0500  120.00   -0.305E+00   -0.473E-04   -0.190E-04    0.256E+00    0.244E-01     0.468E-03    0.558E-02   -0.267E-02    0.133E-02   -0.219E-03   -0.784E-03    0.332E-02      1.68    0.148E-03    0.149E-01
