#    Z       m        H              D           He3            He4          C12       O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0040   20.00   -0.230E+00   -0.438E-04   -0.177E-04    0.121E+00    0.432E-02    0.481E-01    0.139E-01    0.452E-02    0.611E-02    0.246E-02    0.252E-03    0.369E-02      1.76    0.944E-05    0.717E-03
  0.0040   25.00   -0.285E+00   -0.448E-04   -0.197E-04    0.103E+00    0.472E-02    0.864E-01    0.328E-01    0.900E-02    0.466E-02    0.127E-02    0.762E-04    0.298E-02      1.68    0.100E-04    0.105E-02
  0.0040   30.00   -0.343E+00   -0.439E-04   -0.204E-04    0.323E-01    0.552E-02    0.158E+00    0.312E-01    0.696E-02    0.131E-01    0.621E-02    0.790E-03    0.248E-02      2.56    0.612E-05    0.469E-03
  0.0040   40.00   -0.433E+00   -0.446E-04   -0.225E-04   -0.325E-01    0.109E-01    0.197E+00    0.470E-01    0.916E-02    0.130E-01    0.553E-02    0.633E-03    0.186E-02      2.81    0.394E-05    0.445E-03
  0.0040  100.00   -0.596E+00   -0.459E-04   -0.262E-04   -0.149E+00    0.205E-01    0.268E+00    0.754E-01    0.131E-01    0.128E-01    0.430E-02    0.350E-03    0.742E-03      4.31    0.395E-08    0.403E-03
  0.0080   13.00   -0.156E+00   -0.421E-04   -0.118E-04    0.893E-01    0.607E-02    0.234E-01    0.831E-02    0.242E-02    0.478E-02    0.203E-02    0.181E-03    0.577E-02      1.61    0.202E-04    0.106E-02
  0.0080   15.00   -0.191E+00   -0.432E-04   -0.145E-04    0.102E+00    0.441E-02    0.142E-01    0.680E-02    0.375E-02    0.636E-02    0.207E-02    0.767E-04    0.505E-02      1.50    0.194E-04    0.127E-02
  0.0080   18.00   -0.252E+00   -0.437E-04   -0.139E-04    0.101E+00    0.518E-02    0.293E-01    0.104E-01    0.370E-02    0.513E-02    0.197E-02    0.172E-03    0.482E-02      1.60    0.340E-04    0.355E-02
  0.0080   20.00   -0.236E+00   -0.439E-04   -0.170E-04    0.111E+00    0.560E-02    0.474E-01    0.153E-01    0.390E-02    0.526E-02    0.204E-02    0.144E-03    0.386E-02      1.71    0.187E-04    0.119E-02
  0.0080   25.00   -0.294E+00   -0.448E-04   -0.193E-04    0.853E-01    0.436E-02    0.864E-01    0.331E-01    0.853E-02    0.465E-02    0.130E-02    0.296E-04    0.312E-02      1.68    0.674E-04    0.138E-02
  0.0080   30.00   -0.348E+00   -0.441E-04   -0.203E-04    0.298E-01    0.553E-02    0.150E+00    0.312E-01    0.638E-02    0.117E-01    0.539E-02    0.630E-03    0.261E-02      2.44    0.141E-04    0.949E-03
  0.0080   40.00   -0.469E+00   -0.448E-04   -0.234E-04   -0.600E-01    0.112E-01    0.192E+00    0.490E-01    0.842E-02    0.111E-01    0.468E-02    0.478E-03    0.188E-02      2.66   -0.967E-06    0.439E-03
  0.0080  100.00   -0.687E+00   -0.461E-04   -0.279E-04   -0.222E+00    0.213E-01    0.267E+00    0.812E-01    0.121E-01    0.101E-01    0.335E-02    0.204E-03    0.579E-03      3.95   -0.109E-04   -0.423E-03
  0.0200   13.00   -0.144E+00   -0.421E-04   -0.104E-04    0.888E-01    0.560E-02    0.923E-02    0.267E-02    0.456E-03    0.530E-02    0.230E-02    0.285E-04    0.635E-02      1.60    0.521E-04    0.273E-02
  0.0200   15.00   -0.181E+00   -0.432E-04   -0.116E-04    0.102E+00    0.164E-02    0.306E-02    0.226E-02    0.101E-02    0.512E-02    0.173E-02   -0.927E-04    0.563E-02      1.50    0.512E-04    0.311E-02
  0.0200   18.00   -0.224E+00   -0.438E-04   -0.137E-04    0.878E-01    0.482E-02    0.349E-01    0.828E-02    0.418E-02    0.514E-02    0.146E-02   -0.113E-03    0.479E-02      1.58    0.509E-04    0.267E-02
  0.0200   20.00   -0.253E+00   -0.443E-04   -0.149E-04    0.835E-01    0.948E-02    0.446E-01    0.197E-01    0.202E-02    0.268E-02    0.805E-03   -0.182E-03    0.438E-02      1.55    0.464E-04    0.258E-02
  0.0200   25.00   -0.320E+00   -0.448E-04   -0.182E-04    0.323E-01    0.328E-02    0.860E-01    0.341E-01    0.714E-02    0.464E-02    0.139E-02   -0.111E-03    0.355E-02      1.69    0.240E-03    0.235E-02
  0.0200   30.00   -0.363E+00   -0.446E-04   -0.199E-04    0.221E-01    0.554E-02    0.126E+00    0.312E-01    0.469E-02    0.752E-02    0.300E-02    0.151E-03    0.300E-02      2.10    0.377E-04    0.238E-02
  0.0200   40.00   -0.576E+00   -0.453E-04   -0.261E-04   -0.143E+00    0.121E-01    0.175E+00    0.553E-01    0.615E-02    0.553E-02    0.211E-02    0.121E-04    0.196E-02      2.21   -0.160E-04    0.413E-03
  0.0200  100.00   -0.684E+00   -0.466E-04   -0.282E-04   -0.268E+00    0.238E-01    0.264E+00    0.985E-01    0.876E-02    0.196E-02    0.519E-03   -0.239E-03    0.897E-04      2.87   -0.275E-04   -0.107E-02
  0.0500   13.00   -0.111E+00   -0.422E-04   -0.663E-05    0.888E-01    0.441E-02   -0.189E-01    0.000E+00    0.000E+00    0.655E-02    0.296E-02   -0.352E-03    0.779E-02      1.58    0.132E-03    0.688E-02
  0.0500   15.00   -0.156E+00   -0.432E-04   -0.417E-05    0.101E+00   -0.528E-02   -0.194E-01    0.000E+00    0.000E+00    0.202E-02    0.891E-03   -0.517E-03    0.706E-02      1.50    0.130E-03    0.772E-02
  0.0500   18.00   -0.154E+00   -0.439E-04   -0.132E-04    0.529E-01    0.391E-02    0.492E-01    0.297E-02    0.535E-02    0.514E-02    0.168E-03   -0.828E-03    0.471E-02      1.52    0.930E-04    0.465E-03
  0.0500   20.00   -0.294E+00   -0.452E-04   -0.952E-05    0.126E-01    0.190E-01    0.377E-01    0.307E-01   -0.273E-02    0.000E+00    0.000E+00    0.000E+00    0.566E-02      1.16    0.114E-03    0.601E-02
  0.0500   25.00   -0.386E+00   -0.447E-04   -0.155E-04   -0.100E+00    0.613E-03    0.852E-01    0.366E-01    0.366E-02    0.459E-02    0.161E-02   -0.460E-03    0.462E-02      1.71    0.670E-03    0.478E-02
  0.0500   30.00   -0.398E+00   -0.460E-04   -0.190E-04    0.111E-02    0.541E-02    0.654E-01    0.312E-01    0.350E-03    0.000E+00    0.000E+00    0.000E+00    0.399E-02      1.24    0.948E-04    0.590E-02
  0.0500   40.00   -0.615E+00   -0.467E-04   -0.282E-04   -0.310E+00    0.141E-01    0.133E+00    0.708E-01    0.414E-03    0.000E+00    0.000E+00    0.000E+00    0.216E-02      1.08   -0.551E-04    0.274E-03
  0.0500  100.00   -0.631E+00   -0.479E-04   -0.290E-04   -0.318E+00    0.297E-01    0.255E+00    0.142E+00    0.522E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00      0.17   -0.706E-04   -0.275E-02
