#    Z       m        H              D           He3            He4          C12         C13P          N14P           O16            Mrem     C13           N14
  0.0004    2.25   -0.801E-01   -0.329E-04    0.859E-04    0.559E-01    0.206E-01    0.000E+00    0.000E+00       0.282E-03       0.71    0.130E-05    0.458E-04
  0.0004    2.50   -0.680E-01   -0.340E-04    0.775E-04    0.455E-01    0.192E-01    0.464E-05    0.000E+00       0.275E-03       0.73    0.112E-05    0.392E-04
  0.0004    3.00   -0.219E-01   -0.350E-04    0.535E-04    0.145E-01    0.819E-02    0.131E-03    0.570E-04       0.146E-03       0.81   -0.197E-06   -0.149E-04
  0.0004    3.50   -0.289E-01   -0.363E-04   -0.139E-04    0.195E-01    0.231E-02    0.167E-03    0.474E-02       0.137E-03       0.85    0.103E-05    0.133E-04
  0.0004    4.00   -0.455E-01   -0.376E-04   -0.206E-04    0.361E-01    0.130E-02    0.124E-03    0.637E-02       0.165E-03       0.87    0.723E-05    0.134E-03
  0.0004    4.50   -0.500E-01   -0.384E-04   -0.221E-04    0.437E-01    0.763E-03    0.780E-04    0.500E-02       0.100E-03       0.90    0.544E-05    0.371E-03
  0.0004    5.00   -0.617E-01   -0.391E-04   -0.231E-04    0.560E-01    0.545E-03    0.792E-04    0.486E-02       0.510E-04       0.93    0.674E-05    0.570E-03
  0.0004    5.50   -0.675E-01   -0.396E-04   -0.236E-04    0.606E-01    0.456E-03    0.711E-04    0.489E-02       0.351E-04       0.96    0.646E-05    0.460E-03
  0.0004    6.00   -0.783E-01   -0.399E-04   -0.239E-04    0.736E-01    0.303E-03    0.600E-04    0.522E-02       0.403E-04       1.01    0.798E-05    0.673E-03
  0.0040    1.00   -0.567E-02   -0.187E-04    0.111E-03    0.623E-02   -0.410E-04    0.000E+00    0.000E+00       0.732E-04       0.61    0.503E-05    0.502E-04
  0.0040    1.25   -0.105E-01   -0.234E-04    0.139E-03    0.841E-02    0.552E-04    0.000E+00    0.000E+00       0.966E-04       0.64    0.604E-05    0.958E-04
  0.0040    1.50   -0.101E-01   -0.278E-04    0.171E-03    0.977E-02    0.111E-02    0.000E+00    0.000E+00       0.136E-03       0.63    0.765E-05    0.137E-03
  0.0040    1.75   -0.182E-01   -0.307E-04    0.164E-03    0.145E-01    0.304E-02    0.000E+00    0.000E+00       0.191E-03       0.63    0.718E-05    0.176E-03
  0.0040    1.90   -0.220E-01   -0.318E-04    0.147E-03    0.168E-01    0.450E-02    0.000E+00    0.000E+00       0.201E-03       0.64    0.709E-05    0.189E-03
  0.0040    2.00    0.137E-01   -0.324E-04    0.127E-03    0.290E-01    0.579E-02    0.000E+00    0.000E+00       0.309E-03       0.65    0.828E-05    0.194E-03
  0.0040    2.25   -0.404E-01   -0.339E-04    0.977E-04    0.286E-01    0.102E-01    0.000E+00    0.000E+00       0.220E-03       0.66    0.689E-05    0.201E-03
  0.0040    2.50   -0.557E-01   -0.351E-04    0.784E-04    0.402E-01    0.136E-01    0.126E-05    0.748E-04       0.177E-03       0.67    0.566E-05    0.159E-03
  0.0040    3.00   -0.487E-01   -0.363E-04    0.594E-04    0.350E-01    0.125E-01    0.117E-04    0.390E-03       0.149E-03       0.73   -0.386E-05   -0.152E-03
  0.0040    3.50   -0.223E-01   -0.369E-04    0.268E-05    0.151E-01    0.651E-02    0.960E-04    0.440E-03       0.178E-03       0.81    0.251E-05   -0.138E-03
  0.0040    4.00   -0.374E-01   -0.378E-04   -0.166E-04    0.278E-01    0.183E-02    0.338E-03    0.470E-02       0.163E-03       0.85    0.833E-04    0.105E-02
  0.0040    4.50   -0.547E-01   -0.387E-04   -0.227E-04    0.424E-01    0.718E-03    0.900E-04    0.604E-02      -0.319E-04       0.87    0.572E-04    0.396E-02
  0.0040    5.00   -0.796E-01   -0.393E-04   -0.234E-04    0.668E-01    0.535E-03    0.768E-04    0.678E-02      -0.385E-03       0.91    0.674E-04    0.618E-02
  0.0040    5.50   -0.735E-01   -0.399E-04   -0.238E-04    0.641E-01    0.476E-03    0.622E-04    0.427E-02      -0.415E-03       0.93    0.618E-04    0.440E-02
  0.0040    6.00   -0.864E-01   -0.402E-04   -0.240E-04    0.798E-01    0.221E-03    0.337E-04    0.268E-02      -0.801E-03       0.98    0.748E-04    0.615E-02
  0.0080    1.00   -0.489E-02   -0.202E-04    0.123E-03    0.825E-02   -0.700E-04    0.000E+00    0.000E+00       0.175E-03       0.58    0.108E-04    0.872E-04
  0.0080    1.25   -0.920E-02   -0.250E-04    0.155E-03    0.936E-02   -0.155E-03    0.000E+00    0.000E+00       0.203E-03       0.60    0.132E-04    0.183E-03
  0.0080    1.50   -0.105E-01   -0.278E-04    0.179E-03    0.849E-02   -0.647E-04    0.000E+00    0.000E+00       0.218E-03       0.63    0.150E-04    0.262E-03
  0.0080    1.75   -0.107E-01   -0.304E-04    0.168E-03    0.112E-01    0.142E-02    0.000E+00    0.000E+00       0.275E-03       0.64    0.158E-04    0.327E-03
  0.0080    1.90   -0.135E-01   -0.318E-04    0.152E-03    0.109E-01    0.240E-02    0.000E+00    0.000E+00       0.292E-03       0.64    0.154E-04    0.335E-03
  0.0080    2.00    0.165E-01   -0.326E-04    0.136E-03    0.279E-01    0.478E-02    0.000E+00    0.000E+00       0.471E-03       0.64    0.167E-04    0.411E-03
  0.0080    2.25   -0.280E-01   -0.341E-04    0.109E-03    0.190E-01    0.617E-02    0.000E+00    0.000E+00       0.287E-03       0.65    0.148E-04    0.380E-03
  0.0080    2.50   -0.355E-01   -0.353E-04    0.859E-04    0.258E-01    0.808E-02    0.247E-05    0.138E-03       0.200E-03       0.66    0.122E-04    0.300E-03
  0.0080    3.00   -0.545E-01   -0.370E-04    0.593E-04    0.380E-01    0.123E-01    0.225E-04    0.763E-03       0.105E-03       0.69   -0.700E-05   -0.281E-03
  0.0080    3.50   -0.289E-01   -0.374E-04    0.448E-04    0.209E-01    0.715E-02    0.245E-04    0.763E-03       0.160E-03       0.77   -0.557E-05   -0.242E-03
  0.0080    4.00   -0.191E-01   -0.379E-04    0.253E-04    0.144E-01    0.438E-02    0.148E-03    0.715E-03       0.207E-03       0.84    0.236E-04   -0.190E-03
  0.0080    4.50   -0.419E-01   -0.388E-04   -0.219E-04    0.328E-01    0.463E-03    0.560E-04    0.269E-02       0.841E-04       0.86    0.112E-03    0.544E-02
  0.0080    5.00   -0.606E-01   -0.395E-04   -0.234E-04    0.512E-01    0.228E-03    0.256E-04    0.198E-02      -0.428E-03       0.89    0.108E-03    0.876E-02
  0.0080    5.50   -0.591E-01   -0.401E-04   -0.238E-04    0.530E-01    0.676E-04    0.000E+00    0.000E+00      -0.471E-03       0.91    0.112E-03    0.836E-02
  0.0080    6.00   -0.703E-01   -0.404E-04   -0.241E-04    0.637E-01   -0.263E-03    0.000E+00    0.000E+00      -0.962E-03       0.95    0.112E-03    0.795E-02
  0.0200    1.00   -0.178E-01   -0.211E-04    0.122E-03    0.146E-01   -0.170E-03    0.000E+00    0.000E+00       0.406E-03       0.56    0.282E-04    0.178E-03
  0.0200    1.25   -0.206E-01   -0.261E-04    0.175E-03    0.179E-01   -0.360E-03    0.000E+00    0.000E+00       0.514E-03       0.57    0.356E-04    0.402E-03
  0.0200    1.50   -0.184E-01   -0.288E-04    0.190E-03    0.185E-01   -0.513E-03    0.000E+00    0.000E+00       0.600E-03       0.60    0.416E-04    0.593E-03
  0.0200    1.75   -0.192E-01   -0.313E-04    0.165E-03    0.168E-01   -0.629E-03    0.000E+00    0.000E+00       0.626E-03       0.61    0.404E-04    0.718E-03
  0.0200    1.90   -0.164E-01   -0.321E-04    0.149E-03    0.172E-01   -0.642E-03    0.000E+00    0.000E+00       0.673E-03       0.63    0.421E-04    0.744E-03
  0.0200    2.00   -0.163E-01   -0.326E-04    0.138E-03    0.164E-01   -0.655E-03    0.000E+00    0.000E+00       0.652E-03       0.64    0.428E-04    0.762E-03
  0.0200    2.25   -0.175E-01   -0.339E-04    0.107E-03    0.184E-01   -0.262E-03    0.000E+00    0.000E+00       0.634E-03       0.66    0.422E-04    0.863E-03
  0.0200    2.50   -0.262E-01   -0.353E-04    0.831E-04    0.217E-01    0.155E-02    0.676E-05    0.246E-03       0.550E-03       0.66    0.352E-04    0.666E-03
  0.0200    3.00   -0.378E-01   -0.371E-04    0.516E-04    0.303E-01    0.458E-02    0.427E-04    0.125E-02       0.383E-03       0.68    0.813E-07   -0.211E-03
  0.0200    3.50   -0.392E-01   -0.381E-04    0.355E-04    0.337E-01    0.536E-02    0.471E-04    0.140E-02       0.312E-03       0.72   -0.116E-05   -0.242E-03
  0.0200    4.00   -0.300E-01   -0.385E-04    0.245E-04    0.258E-01    0.232E-02    0.353E-04    0.105E-02       0.373E-03       0.79    0.145E-04    0.227E-03
