2	2	5	GAV	CLI	CHA	15.985	6.429	48.694	167.581	1.728	5.411	1.283	3.52	19.7	21.434	13.19
2	2	6	GAV	CLI	MAS	22.255	18.741	154.48	364.015	2.014	5.719	0.69	4.135	38.945	58.29	42.565
2	3	1	GAV	KOB	SAL	11.86	2.658	76.728	55.889	1.651	5.135	2.704	2.757	5.469	5.621	5.858
2	3	2	GAV	KOB	MIL	16.475	4.805	1.298	73.75	1.761	5.426	1.34	3.576	10.597	9.535	2.718
2	3	3	GAV	KOB	FER	20.052	59.003	41.005	377.555	2.159	5.108	4.859	2.596	31.582	37.887	30.101
2	3	4	GAV	KOB	KRO	14.725	14.762	3.065	63.741	1.686	5.064	3.268	2.717	6.713	7.759	5.831
2	3	5	GAV	KOB	CHA	14.966	2.892	63.75	81.994	1.68	5.351	1.442	3.385	11.21	15.827	6.965
2	3	6	GAV	KOB	MAS	18.8	6.765	245.305	169.031	1.843	5.562	0.924	3.807	24.881	43.177	27.314
2	4	1	GAV	PCB	SAL	13.185	7.483	191.914	195.458	1.608	5.309	1.687	3.131	72.34	56.634	35.17
2	4	2	GAV	PCB	MIL	20.135	6.16	84.124	156.454	2.003	5.618	0.923	4.01	49.477	41.584	23.237
2	4	3	GAV	PCB	FER	16.518	9.002	4.227	57.599	1.783	5.024	3.85	2.63	6.757	7.97	4.109
2	4	4	GAV	PCB	KRO	13.575	2.172	30.572	77.388	1.63	5.11	2.558	2.887	25.052	8.328	7.276
2	4	5	GAV	PCB	CHA	21.011	14.247	199.053	354.811	2.02	5.681	0.798	4.068	82.015	82.113	46.903
2	4	6	GAV	PCB	MAS	40.714	43.463	321.673	300.715	3.051	6.469	0.252	5.641	163.249	200.712	96.559
2	5	1	GAV	HEG	SAL	13.501	1.722	91.735	37.707	1.609	5.336	1.631	3.174	12.852	6.885	2.562
2	5	2	GAV	HEG	MIL	18.574	6.945	12.989	50.609	1.838	5.535	1.369	3.757	14.432	9.784	2.6
2	5	3	GAV	HEG	FER	24.783	65.457	11.175	527.159	2.465	5.163	5.595	2.639	19.201	65.972	21.004
2	5	4	GAV	HEG	KRO	15.658	12.939	19.995	70.45	1.64	5.115	3.111	2.805	7.577	4.423	3.001
2	5	5	GAV	HEG	CHA	21.496	1.703	70.86	69.029	2.036	5.711	0.783	4.116	19.572	15.543	2.295
2	5	6	GAV	HEG	MAS	46.461	3.839	52.73	89.627	3.386	6.686	0.246	6.084	34.263	37.156	2.261
2	6	1	GAV	LIM	SAL	13.43	13.805	116.676	436.338	1.614	5.328	1.616	3.168	77.276	37.696	18.425
2	6	2	GAV	LIM	MIL	20.32	10.28	61.457	295.145	2.007	5.628	0.926	4.026	44.791	25.685	7.66
2	6	3	GAV	LIM	FER	17.577	23.473	5.561	79.466	1.799	5.035	4	2.628	5.671	11.897	5.648
2	6	4	GAV	LIM	KRO	13.542	4.097	69.128	82.781	1.628	5.115	2.526	2.897	23.236	4.839	3.261
2	6	5	GAV	LIM	CHA	21.674	23.034	92.83	371.616	2.056	5.713	0.753	4.133	82.268	57.161	24.166
2	6	6	GAV	LIM	MAS	43.168	61.885	152.965	329.273	3.189	6.56	0.243	5.824	173.57	160.066	65.396
3	1	1	MAR	WOW	SAL	12.177	30.925	281.481	105.671	1.62	5.163	2.498	2.829	13.881	4.496	21.559
3	1	2	MAR	WOW	MIL	18.023	31.162	119.697	64.141	1.867	5.503	1.18	3.761	6.173	4.275	8.185
3	1	3	MAR	WOW	FER	16.975	57.993	20.041	177.924	1.804	5.014	3.922	2.618	6.808	43.221	12.4
3	1	4	MAR	WOW	KRO	14.151	42.509	29.1	107.609	1.653	5.067	2.981	2.78	6.855	15.224	2.969
3	1	5	MAR	WOW	CHA	16.589	27.569	392.581	67.283	1.773	5.445	1.269	3.584	12.004	7.295	28.156
3	1	6	MAR	WOW	MAS	22.098	23.831	898.492	56.808	2.035	5.732	0.718	4.14	5.994	38.553	69.184
3	2	1	MAR	CLI	SAL	12.153	2.336	73.74	91.527	1.62	5.164	2.485	2.831	5.752	5.171	10.495
3	2	2	MAR	CLI	MIL	18.025	3.503	1.161	108.547	1.869	5.502	1.169	3.763	6.313	4.566	3.475
3	2	3	MAR	CLI	FER	16.795	16.327	79.083	57.259	1.8	5.012	3.903	2.619	5.898	47.322	18.7
3	2	4	MAR	CLI	KRO	14.052	4.98	1.6	42.709	1.652	5.066	2.96	2.783	5.615	19.016	3.472
3	2	5	MAR	CLI	CHA	16.569	5.828	51.379	161.454	1.774	5.444	1.261	3.586	6.01	5.108	14.341
3	2	6	MAR	CLI	MAS	22.252	16.842	163.465	381.494	2.043	5.739	0.707	4.155	15.534	27.658	44.441
3	3	1	MAR	KOB	SAL	12.19	2.772	75.887	50.741	1.647	5.136	2.69	2.771	7.265	6.347	5.909
3	3	2	MAR	KOB	MIL	17.214	3.96	0.904	77.596	1.821	5.457	1.268	3.663	5.669	5.161	2.595
