#   Z           m      H            D             He3        He4              C12     O16             Ne20     Mg24             Si28      S32        Ca40           Fe56      Mrem    C13s        N14s
  0.0040   10.00   -0.113E+00   -0.418E-04   -0.143E-04    0.101E+00    0.347E-02   0.133E-02    0.102E-02   -0.153E-03    0.165E-02    0.161E-02    0.112E-03    0.271E-02     1.29    0.856E-05    0.245E-03
  0.0040   13.00   -0.168E+00   -0.420E-04   -0.155E-04    0.826E-01    0.405E-02   0.100E-01    0.771E-03    0.215E-04    0.335E-02    0.339E-02    0.257E-03    0.145E-02     1.61    0.888E-05    0.366E-03
  0.0040   15.00   -0.116E+00   -0.392E-04   -0.146E-04    0.942E-01    0.373E-02   0.118E-01    0.274E-02    0.633E-03    0.105E-02    0.565E-03    0.722E-05    0.179E-02     2.72    0.914E-05    0.387E-03
  0.0040   20.00   -0.122E+00   -0.368E-04   -0.144E-04    0.931E-01    0.352E-02   0.164E-01    0.380E-02    0.537E-03    0.184E-02    0.136E-02    0.591E-04    0.127E-02     4.63    0.763E-05    0.351E-03
  0.0040   25.00   -0.129E+00   -0.349E-04   -0.142E-04    0.938E-01    0.392E-02   0.222E-01    0.314E-02    0.527E-03    0.209E-02    0.102E-02    0.372E-04    0.190E-02     6.83    0.104E-04    0.677E-03
  0.0040   35.00   -0.945E-01   -0.276E-04   -0.107E-04    0.494E-01    0.196E-02   0.317E-01    0.770E-02    0.101E-02    0.101E-02    0.649E-03    0.268E-04    0.102E-02    14.83    0.571E-05    0.412E-03
  0.0040   50.00   -0.240E+00   -0.369E-04   -0.168E-04    0.114E+00    0.206E-01   0.898E-01    0.926E-02    0.145E-02    0.822E-03    0.401E-03   -0.315E-05    0.123E-02    11.59    0.103E-03    0.218E-02
  0.0040   75.00   -0.236E+00   -0.339E-04   -0.159E-04    0.162E+00    0.314E-01   0.332E-01    0.463E-02    0.988E-03    0.715E-03    0.356E-03   -0.125E-04    0.666E-03    22.00    0.316E-03    0.274E-02
  0.0040  100.00   -0.231E+00   -0.331E-04   -0.161E-04    0.154E+00    0.222E-01   0.487E-01    0.458E-02    0.734E-03    0.654E-03    0.190E-03   -0.229E-04    0.433E-03    31.12    0.168E-05    0.661E-03
  0.0080   10.00   -0.992E-01   -0.417E-04   -0.909E-05    0.925E-01    0.355E-02  -0.874E-03    0.768E-03   -0.482E-03    0.112E-02    0.106E-02   -0.298E-05    0.202E-02     1.30    0.171E-04    0.490E-03
  0.0080   13.00   -0.157E+00   -0.420E-04   -0.104E-04    0.879E-01    0.420E-02   0.103E-01    0.148E-02   -0.795E-04    0.294E-02    0.269E-02    0.144E-03    0.165E-02     1.60    0.176E-04    0.731E-03
  0.0080   15.00   -0.126E+00   -0.402E-04   -0.103E-04    0.969E-01    0.439E-02   0.153E-01    0.301E-02    0.824E-03    0.176E-02    0.872E-03   -0.142E-04    0.324E-02     2.43    0.180E-04    0.765E-03
  0.0080   20.00   -0.144E+00   -0.386E-04   -0.111E-04    0.950E-01    0.494E-02   0.278E-01    0.671E-02    0.867E-03    0.361E-02    0.265E-02    0.106E-03    0.246E-02     3.90    0.148E-04    0.686E-03
  0.0080   25.00   -0.156E+00   -0.370E-04   -0.115E-04    0.956E-01    0.597E-02   0.381E-01    0.575E-02    0.728E-03    0.408E-02    0.198E-02    0.633E-04    0.373E-02     5.70    0.144E-04    0.939E-03
  0.0080   35.00   -0.145E+00   -0.320E-04   -0.955E-05    0.565E-01    0.367E-02   0.624E-01    0.153E-01    0.194E-02    0.200E-02    0.127E-02    0.389E-04    0.203E-02    11.65    0.104E-04    0.783E-03
  0.0080   50.00   -0.261E+00   -0.391E-04   -0.145E-04    0.102E+00    0.229E-01   0.114E+00    0.135E-01    0.237E-02    0.156E-02    0.742E-03   -0.200E-04    0.233E-02     9.32    0.805E-04    0.225E-02
  0.0080   75.00   -0.270E+00   -0.371E-04   -0.148E-04    0.168E+00    0.511E-01   0.396E-01    0.523E-02    0.744E-03    0.126E-02    0.638E-03   -0.423E-04    0.128E-02    17.03    0.238E-03    0.278E-02
  0.0080  100.00   -0.271E+00   -0.365E-04   -0.158E-04    0.178E+00    0.404E-01   0.454E-01    0.507E-02    0.534E-03    0.759E-03    0.212E-03   -0.697E-04    0.856E-03    23.89    0.254E-05    0.129E-02
  0.0200   10.00   -0.587E-01   -0.417E-04    0.642E-05    0.673E-01    0.380E-02  -0.747E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00     1.32    0.426E-04    0.123E-02
  0.0200   13.00   -0.125E+00   -0.423E-04    0.479E-05    0.104E+00    0.466E-02   0.111E-01    0.359E-02   -0.388E-03    0.170E-02    0.593E-03   -0.193E-03    0.226E-02     1.54    0.437E-04    0.182E-02
  0.0200   15.00   -0.152E+00   -0.429E-04    0.242E-05    0.104E+00    0.622E-02   0.256E-01    0.383E-02    0.132E-02    0.387E-02    0.176E-02   -0.965E-04    0.758E-02     1.59    0.433E-04    0.185E-02
  0.0200   20.00   -0.205E+00   -0.439E-04   -0.138E-05    0.982E-01    0.894E-02   0.613E-01    0.154E-01    0.171E-02    0.885E-02    0.649E-02    0.213E-03    0.600E-02     1.72    0.337E-04    0.159E-02
  0.0200   25.00   -0.232E+00   -0.436E-04   -0.324E-05    0.982E-01    0.118E-01   0.848E-01    0.136E-01    0.115E-02    0.100E-01    0.481E-02    0.977E-04    0.922E-02     2.28    0.233E-04    0.160E-02
  0.0200   35.00   -0.286E+00   -0.451E-04   -0.622E-05    0.714E-01    0.817E-02   0.153E+00    0.382E-01    0.437E-02    0.486E-02    0.301E-02   -0.121E-04    0.506E-02     2.09    0.182E-04    0.166E-02
  0.0200   50.00   -0.319E+00   -0.456E-04   -0.765E-05    0.624E-01    0.294E-01   0.187E+00    0.263E-01    0.494E-02    0.372E-02    0.170E-02   -0.114E-03    0.563E-02     2.49    0.105E-04    0.232E-02
  0.0200   75.00   -0.362E+00   -0.467E-04   -0.114E-04    0.182E+00    0.110E+00   0.572E-01    0.701E-02   -0.259E-03    0.281E-02    0.138E-02   -0.195E-03    0.312E-02     2.09    0.235E-07    0.270E-02
  0.0200  100.00   -0.383E+00   -0.469E-04   -0.149E-04    0.247E+00    0.943E-01   0.340E-01    0.652E-02   -0.357E-03    0.983E-03    0.165E-03   -0.280E-03    0.211E-02     2.19    0.179E-06    0.299E-02
  0.0500   10.00    0.425E-01   -0.415E-04    0.452E-04    0.452E-02    0.445E-02  -0.186E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00     1.36    0.107E-03    0.308E-02
  0.0500   12.00    0.513E-02   -0.423E-04    0.489E-04    0.181E+00    0.683E-02   0.157E-01    0.962E-02   -0.941E-03    0.000E+00    0.000E+00    0.000E+00    0.409E-02     1.42    0.123E-03    0.514E-02
  0.0500   15.00   -0.122E+00   -0.435E-04    0.380E-04    0.154E+00    0.109E-01   0.515E-01    0.586E-02    0.261E-02    0.918E-02    0.401E-02   -0.291E-03    0.184E-01     1.41    0.107E-03    0.460E-02
  0.0500   20.00   -0.168E+00   -0.446E-04    0.305E-04    0.172E+00    0.191E-01   0.146E+00    0.371E-01    0.393E-02    0.220E-01    0.161E-01    0.509E-03    0.148E-01     1.41    0.831E-04    0.394E-02
  0.0500   25.00   -0.194E+00   -0.453E-04    0.262E-04    0.182E+00    0.265E-01   0.202E+00    0.332E-01    0.228E-02    0.248E-01    0.119E-01    0.204E-03    0.229E-01     1.41    0.559E-04    0.391E-02
  0.0500   35.00   -0.150E+00   -0.461E-04    0.213E-04    0.280E+00    0.201E-01   0.381E+00    0.953E-01    0.108E-01    0.121E-01    0.749E-02   -0.494E-04    0.126E-01     1.41    0.442E-04    0.409E-02
  0.0500   50.00   -0.229E+00   -0.466E-04    0.188E-04    0.464E-01    0.460E-01   0.369E+00    0.583E-01    0.115E-01    0.917E-02    0.413E-02   -0.316E-03    0.139E-01     1.41    0.246E-04    0.574E-02
  0.0500   75.00   -0.233E+00   -0.471E-04    0.111E-04    0.343E+00    0.257E+00   0.103E+00    0.115E-01   -0.247E-02    0.679E-02    0.335E-02   -0.507E-03    0.773E-02     1.41   -0.593E-06    0.672E-02
  0.0500  100.00   -0.270E+00   -0.473E-04    0.275E-05    0.556E+00    0.230E+00   0.724E-02    0.101E-01   -0.225E-02    0.165E-02    0.176E-03   -0.725E-03    0.527E-02     1.41   -0.924E-07    0.745E-02
