#    Z       m        H              D           He3            He4          C12        O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0040  100.00   -0.381E+00   -0.468E-04   -0.233E-04    0.229E-01    0.469E-01    0.209E+00    0.211E-01    0.750E-03    0.137E-01    0.762E-02    0.115E-02    0.113E-02      2.44    0.839E-05    0.485E-03
  0.0080   13.00   -0.150E+00   -0.427E-04   -0.656E-05    0.882E-01    0.662E-02    0.179E-01    0.602E-02    0.237E-02    0.403E-02    0.149E-02    0.125E-03    0.806E-02      1.44    0.244E-04    0.109E-02
  0.0080   15.00   -0.172E+00   -0.433E-04   -0.821E-05    0.840E-01    0.104E-01    0.305E-01    0.993E-02    0.347E-02    0.708E-02    0.327E-02    0.400E-03    0.705E-02      1.48    0.238E-04    0.104E-02
  0.0080   20.00   -0.219E+00   -0.442E-04   -0.111E-04    0.735E-01    0.160E-01    0.658E-01    0.244E-01    0.628E-02    0.786E-02    0.308E-02    0.311E-03    0.538E-02      1.58    0.224E-04    0.905E-03
  0.0080   25.00   -0.252E+00   -0.445E-04   -0.127E-04    0.655E-01    0.239E-01    0.944E-01    0.274E-01    0.437E-02    0.889E-02    0.464E-02    0.596E-03    0.434E-02      1.82    0.211E-04    0.170E-02
  0.0080   30.00   -0.288E+00   -0.452E-04   -0.140E-04    0.569E-01    0.189E-01    0.127E+00    0.450E-01    0.823E-02    0.504E-02    0.187E-02    0.186E-03    0.368E-02      1.72    0.203E-04    0.190E-02
  0.0080   35.00   -0.297E+00   -0.451E-04   -0.146E-04    0.483E-01    0.257E-01    0.145E+00    0.380E-01    0.551E-02    0.720E-02    0.324E-02    0.384E-03    0.318E-02      2.13    0.197E-04    0.842E-03
  0.0080  100.00   -0.374E+00   -0.468E-04   -0.182E-04    0.763E-02    0.519E-01    0.219E+00    0.109E-01    0.000E+00    0.157E-01    0.852E-02    0.114E-02    0.127E-02      2.53    0.168E-04    0.892E-03
  0.0200   13.00   -0.149E+00   -0.428E-04    0.113E-04    0.904E-01    0.548E-02    0.158E-01    0.430E-02    0.131E-02    0.475E-02    0.157E-02   -0.494E-04    0.864E-02      1.42    0.640E-04    0.257E-02
  0.0200   15.00   -0.160E+00   -0.428E-04    0.117E-04    0.821E-01    0.110E-01    0.267E-01    0.240E-02    0.754E-03    0.827E-02    0.346E-02    0.192E-03    0.761E-02      1.63    0.621E-04    0.240E-02
