#    Z       m        H              D           He3            He4          C12         C13P          N14P         O16               Mrem     C13           N14
  0.0004    1.30   -0.285E-01   -0.258E-04   -0.156E-04    0.218E-01    0.303E-02    0.000E+00    0.000E+00     0.283E-03          0.60   -0.305E-06    0.292E-05
  0.0004    1.50   -0.235E-01   -0.282E-04   -0.170E-04    0.217E-01    0.342E-02    0.000E+00    0.000E+00     0.296E-03          0.62   -0.300E-06   -0.151E-05
  0.0004    1.70   -0.241E-01   -0.296E-04   -0.179E-04    0.191E-01    0.342E-02    0.000E+00    0.000E+00     0.297E-03          0.65   -0.696E-07   -0.229E-05
  0.0004    2.00   -0.297E-01   -0.314E-04   -0.190E-04    0.235E-01    0.457E-02    0.000E+00    0.000E+00     0.402E-03          0.69   -0.767E-07   -0.810E-06
  0.0004    2.50   -0.230E-01   -0.334E-04   -0.202E-04    0.161E-01    0.480E-02    0.000E+00    0.000E+00     0.432E-03          0.76   -0.168E-06   -0.107E-05
  0.0004    3.00   -0.185E-01   -0.344E-04   -0.208E-04    0.115E-01    0.419E-02    0.000E+00    0.827E-05     0.390E-03          0.85   -0.107E-06   -0.263E-05
  0.0004    3.50   -0.204E-01   -0.358E-04   -0.216E-04    0.167E-01    0.267E-02    0.121E-03    0.273E-02     0.432E-03          0.89   -0.849E-07   -0.109E-05
  0.0004    4.00   -0.280E-01   -0.371E-04   -0.224E-04    0.203E-01    0.114E-02    0.215E-03    0.477E-02     0.470E-03          0.91   -0.697E-07   -0.450E-07
  0.0004    4.50   -0.593E+00   -0.379E-04   -0.229E-04    0.220E-01    0.890E-03    0.121E-03    0.580E-02     0.462E-03          0.95   -0.821E-07    0.167E-05
  0.0004    5.00   -0.302E-01   -0.386E-04   -0.233E-04    0.245E-01    0.640E-03    0.456E-04    0.660E-02     0.450E-03          0.98   -0.911E-07    0.291E-05
  0.0004    6.00   -0.383E-01   -0.396E-04   -0.239E-04    0.286E-01    0.724E-03    0.683E-04    0.783E-02     0.293E-03          1.05   -0.154E-06    0.885E-05
  0.0004    7.00   -0.430E-01   -0.403E-04   -0.243E-04    0.319E-01    0.807E-03    0.849E-04    0.870E-02     0.134E-03          1.13   -0.193E-06    0.130E-04
  0.0004    8.00   -0.373E-01   -0.362E-04   -0.219E-04    0.289E-01    0.652E-03    0.978E-04    0.937E-02     0.161E-03          1.96   -0.427E-06   -0.166E-04
  0.0040    0.80   -0.854E-02   -0.138E-04   -0.834E-05    0.919E-02   -0.173E-03    0.000E+00    0.000E+00    -0.358E-04          0.57    0.227E-07    0.150E-05
  0.0040    0.90   -0.123E-01   -0.176E-04   -0.106E-04    0.122E-01   -0.733E-04    0.000E+00    0.000E+00     0.371E-04          0.57    0.114E-06    0.600E-05
  0.0040    1.00   -0.164E-01   -0.206E-04   -0.125E-04    0.151E-01    0.694E-03    0.000E+00    0.000E+00     0.108E-03          0.57    0.116E-06    0.740E-05
  0.0040    1.30   -0.202E-01   -0.244E-04   -0.147E-04    0.183E-01    0.173E-02    0.000E+00    0.000E+00     0.196E-03          0.64    0.165E-06    0.754E-05
  0.0040    1.50   -0.218E-01   -0.298E-04   -0.180E-04    0.190E-01    0.221E-02    0.000E+00    0.000E+00     0.274E-03          0.57    0.111E-06    0.183E-04
  0.0040    1.70   -0.240E-01   -0.316E-04   -0.191E-04    0.202E-01    0.352E-02    0.000E+00    0.000E+00     0.379E-03          0.58    0.130E-06    0.180E-04
  0.0040    2.00   -0.330E-01   -0.331E-04   -0.200E-04    0.267E-01    0.494E-02    0.000E+00    0.000E+00     0.433E-03          0.62    0.145E-06    0.137E-04
  0.0040    2.50   -0.366E-01   -0.357E-04   -0.216E-04    0.308E-01    0.591E-02    0.000E+00    0.000E+00     0.472E-03          0.64    0.229E-06    0.147E-04
  0.0040    3.00   -0.393E-01   -0.374E-04   -0.226E-04    0.318E-01    0.740E-02    0.127E-04    0.437E-03     0.592E-03          0.66    0.152E-06    0.187E-04
  0.0040    3.50   -0.322E-01   -0.372E-04   -0.225E-04    0.262E-01    0.414E-02    0.158E-03    0.274E-02     0.477E-03          0.79   -0.182E-06    0.171E-04
  0.0040    4.00   -0.263E-01   -0.371E-04   -0.224E-04    0.199E-01    0.869E-03    0.267E-03    0.447E-02     0.356E-03          0.91   -0.447E-06    0.153E-04
  0.0040    4.50   -0.282E-01   -0.379E-04   -0.229E-04    0.224E-01    0.598E-03    0.168E-03    0.553E-02     0.350E-03          0.95   -0.429E-07    0.733E-05
  0.0040    5.00   -0.312E-01   -0.386E-04   -0.233E-04    0.244E-01    0.324E-03    0.878E-04    0.640E-02     0.341E-03          0.98    0.269E-06    0.720E-06
  0.0040    6.00   -0.344E-01   -0.396E-04   -0.239E-04    0.261E-01    0.370E-03    0.108E-03    0.767E-02     0.877E-04          1.05    0.580E-06    0.683E-05
  0.0040    7.00   -0.368E-01   -0.403E-04   -0.244E-04    0.287E-01    0.416E-03    0.122E-03    0.859E-02    -0.166E-03          1.12    0.788E-06    0.109E-04
  0.0040    8.00   -0.423E-01   -0.409E-04   -0.247E-04    0.332E-01    0.359E-03    0.134E-03    0.937E-02    -0.233E-03          1.19   -0.506E-06    0.215E-04
  0.0080    0.80   -0.103E-01   -0.132E-04   -0.798E-05    0.105E-01   -0.105E-03    0.000E+00    0.000E+00     0.602E-04          0.58   -0.513E-06   -0.963E-05
  0.0080    0.90   -0.121E-01   -0.176E-04   -0.106E-04    0.119E-01   -0.120E-03    0.000E+00    0.000E+00     0.105E-03          0.57    0.594E-06    0.164E-04
  0.0080    1.00   -0.136E-01   -0.211E-04   -0.128E-04    0.131E-01   -0.137E-03    0.000E+00    0.000E+00     0.146E-03          0.56    0.849E-06    0.264E-04
  0.0080    1.30   -0.188E-01   -0.251E-04   -0.152E-04    0.176E-01    0.132E-02    0.000E+00    0.000E+00     0.254E-03          0.62    0.871E-06    0.291E-04
  0.0080    1.50   -0.223E-01   -0.294E-04   -0.178E-04    0.192E-01    0.258E-02    0.000E+00    0.000E+00     0.343E-03          0.58    0.590E-06    0.275E-04
  0.0080    1.70   -0.224E-01   -0.316E-04   -0.191E-04    0.188E-01    0.296E-02    0.000E+00    0.000E+00     0.387E-03          0.58    0.777E-06    0.313E-04
  0.0080    2.00   -0.305E-01   -0.334E-04   -0.202E-04    0.250E-01    0.442E-02    0.000E+00    0.000E+00     0.399E-03          0.61    0.683E-06    0.287E-04
  0.0080    2.50   -0.403E-01   -0.359E-04   -0.217E-04    0.323E-01    0.558E-02    0.000E+00    0.000E+00     0.391E-03          0.63    0.693E-06    0.329E-04
  0.0080    3.00   -0.433E-01   -0.378E-04   -0.228E-04    0.343E-01    0.686E-02    0.242E-04    0.770E-03     0.467E-03          0.64    0.795E-06    0.372E-04
  0.0080    3.50   -0.258E+00   -0.374E-04   -0.226E-04    0.303E-01    0.378E-02    0.181E-03    0.285E-02     0.345E-03          0.77    0.111E-05    0.339E-04
  0.0080    4.00   -0.306E-01   -0.372E-04   -0.225E-04    0.261E-01    0.715E-03    0.300E-03    0.443E-02     0.209E-03          0.90    0.133E-05    0.315E-04
  0.0080    4.50   -0.327E-01   -0.381E-04   -0.230E-04    0.257E-01    0.386E-03    0.187E-03    0.553E-02     0.226E-03          0.93    0.997E-06    0.309E-04
