#    Z       m        H              D           He3            He4          C12           O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0001  100.00   -0.368E+00   -0.400E-04   -0.130E-04    0.513E-01    0.659E-02       0.969E-01    0.374E-01    0.120E-02    0.000E+00    0.000E+00    0.000E+00    0.472E-06     16.57    0.194E-06    0.193E-04
  0.0004   11.00   -0.122E+00   -0.420E-04    0.670E-05    0.103E+00    0.640E-02       0.658E-02    0.000E+00    0.522E-04    0.186E-02    0.440E-03    0.238E-04    0.239E-05      1.37    0.412E-06    0.165E-05
  0.0004   12.00   -0.138E+00   -0.424E-04    0.524E-05    0.106E+00    0.745E-02       0.117E-01    0.823E-03    0.451E-03    0.260E-02    0.116E-02    0.211E-03    0.293E-05      1.41    0.409E-06    0.842E-05
  0.0004   13.00   -0.151E+00   -0.426E-04    0.400E-05    0.109E+00    0.833E-02       0.160E-01    0.205E-02    0.832E-03    0.317E-02    0.165E-02    0.370E-03    0.251E-05      1.45    0.405E-06    0.140E-04
  0.0004   15.00   -0.175E+00   -0.430E-04    0.255E-05    0.117E+00    0.981E-02       0.280E-01    0.291E-02    0.139E-02    0.488E-02    0.230E-02    0.424E-03    0.281E-05      1.56    0.500E-06    0.164E-04
  0.0004   18.00   -0.210E+00   -0.438E-04    0.323E-06    0.121E+00    0.109E-01       0.527E-01    0.104E-01    0.220E-02    0.560E-02    0.310E-02    0.545E-03    0.308E-05      1.58    0.617E-06    0.145E-04
  0.0004   19.00   -0.218E+00   -0.435E-04   -0.125E-06    0.114E+00    0.107E-01       0.677E-01    0.658E-02    0.158E-02    0.910E-02    0.536E-02    0.740E-03    0.309E-05      1.78    0.634E-06    0.144E-04
  0.0004   20.00   -0.224E+00   -0.432E-04   -0.529E-06    0.107E+00    0.106E-01       0.808E-01    0.295E-02    0.980E-03    0.122E-01    0.739E-02    0.913E-03    0.304E-05      1.98    0.660E-06    0.142E-04
  0.0004   22.00   -0.244E+00   -0.435E-04   -0.122E-05    0.116E+00    0.111E-01       0.880E-01    0.186E-02    0.240E-02    0.141E-01    0.672E-02    0.870E-03    0.290E-05      2.04    0.723E-06    0.153E-04
  0.0004   25.00   -0.279E+00   -0.444E-04   -0.271E-05    0.121E+00    0.110E-01       0.113E+00    0.176E-02    0.152E-02    0.154E-01    0.819E-02    0.769E-03    0.305E-05      1.87    0.700E-06    0.166E-04
  0.0004   30.00   -0.309E+00   -0.445E-04   -0.416E-05    0.113E+00    0.104E-01       0.148E+00    0.126E-01    0.934E-02    0.103E-01    0.326E-02    0.583E-03    0.269E-05      2.21    0.556E-06    0.180E-04
  0.0004   35.00   -0.334E+00   -0.447E-04   -0.506E-05    0.112E+00    0.994E-02       0.161E+00    0.264E-01    0.945E-02    0.765E-02    0.316E-02    0.570E-03    0.257E-05      2.41    0.530E-06    0.201E-04
  0.0004   40.00   -0.326E+00   -0.427E-04   -0.467E-05    0.127E+00    0.972E-02       0.155E+00    0.333E-01    0.699E-02    0.673E-03   -0.814E-06   -0.686E-05    0.776E-05      4.42    0.509E-06    0.224E-04
  0.0004   60.00   -0.308E+00   -0.381E-04   -0.384E-05    0.161E+00    0.934E-02       0.139E+00    0.495E-01    0.126E-02    0.000E+00    0.000E+00    0.000E+00    0.135E-05     12.40    0.458E-06    0.279E-04
  0.0004  100.00   -0.293E+00   -0.344E-04   -0.306E-05    0.189E+00    0.113E-01       0.127E+00    0.625E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.601E-06     28.40    0.418E-06    0.322E-04
  0.0040   11.00   -0.116E+00   -0.417E-04    0.135E-04    0.102E+00    0.564E-02      -0.122E-03    0.000E+00   -0.200E-03    0.129E-03   -0.148E-04   -0.198E-04    0.150E-03      1.44    0.808E-05    0.105E-02
  0.0040   12.00   -0.139E+00   -0.425E-04    0.120E-04    0.103E+00    0.683E-02       0.111E-01    0.304E-02    0.181E-03    0.298E-02    0.159E-02    0.272E-03    0.154E-03      1.37    0.790E-05    0.353E-03
  0.0040   13.00   -0.157E+00   -0.431E-04    0.107E-04    0.105E+00    0.792E-02       0.206E-01    0.327E-02    0.989E-03    0.485E-02    0.226E-02    0.317E-03    0.154E-03      1.33    0.823E-05    0.478E-03
