#    Z       m        H              D           He3            He4          C12         C13P          N14P           O16             Mrem     C13           N14
  0.0000    4.40   -0.348E-01   -0.377E-04   -0.228E-04    0.219E-01    0.282E-03    0.395E-04    0.268E-02       0.000E+00        0.94    0.000E+00    0.000E+00
  0.0000    4.50   -0.380E-01   -0.379E-04   -0.229E-04    0.291E-01    0.327E-03    0.467E-04    0.320E-02       0.000E+00        0.95    0.000E+00    0.000E+00
  0.0000    4.60   -0.410E-01   -0.380E-04   -0.229E-04    0.280E-01    0.326E-03    0.489E-04    0.339E-02       0.000E+00        0.96    0.000E+00    0.000E+00
  0.0000    4.70   -0.455E-01   -0.382E-04   -0.231E-04    0.285E-01    0.326E-03    0.511E-04    0.360E-02       0.000E+00        0.96    0.000E+00    0.000E+00
  0.0000    4.80   -0.483E-01   -0.383E-04   -0.231E-04    0.274E-01    0.325E-03    0.531E-04    0.379E-02       0.000E+00        0.97    0.000E+00    0.000E+00
  0.0000    4.90   -0.509E-01   -0.384E-04   -0.232E-04    0.264E-01    0.324E-03    0.551E-04    0.396E-02       0.000E+00        0.98    0.000E+00    0.000E+00
  0.0000    5.00   -0.549E-01   -0.386E-04   -0.233E-04    0.249E-01    0.322E-03    0.570E-04    0.414E-02       0.000E+00        0.98    0.000E+00    0.000E+00
  0.0000    5.10   -0.573E-01   -0.387E-04   -0.234E-04    0.279E-01    0.325E-03    0.608E-04    0.447E-02       0.000E+00        0.99    0.000E+00    0.000E+00
  0.0000    5.20   -0.592E-01   -0.389E-04   -0.235E-04    0.303E-01    0.329E-03    0.642E-04    0.479E-02       0.000E+00        0.99    0.000E+00    0.000E+00
  0.0000    5.30   -0.614E-01   -0.389E-04   -0.235E-04    0.331E-01    0.332E-03    0.675E-04    0.511E-02       0.000E+00        1.00    0.000E+00    0.000E+00
  0.0000    5.40   -0.635E-01   -0.390E-04   -0.236E-04    0.357E-01    0.335E-03    0.707E-04    0.541E-02       0.000E+00        1.01    0.000E+00    0.000E+00
  0.0000    5.50   -0.670E-01   -0.392E-04   -0.237E-04    0.379E-01    0.338E-03    0.738E-04    0.569E-02       0.000E+00        1.01    0.000E+00    0.000E+00
  0.0000    5.60   -0.671E-01   -0.393E-04   -0.237E-04    0.404E-01    0.341E-03    0.768E-04    0.598E-02       0.000E+00        1.02    0.000E+00    0.000E+00
  0.0000    5.70   -0.704E-01   -0.394E-04   -0.238E-04    0.423E-01    0.344E-03    0.796E-04    0.625E-02       0.000E+00        1.02    0.000E+00    0.000E+00
  0.0000    5.80   -0.722E-01   -0.395E-04   -0.239E-04    0.446E-01    0.347E-03    0.824E-04    0.650E-02       0.000E+00        1.03    0.000E+00    0.000E+00
  0.0000    5.90   -0.736E-01   -0.396E-04   -0.239E-04    0.465E-01    0.349E-03    0.851E-04    0.676E-02       0.000E+00        1.03    0.000E+00    0.000E+00
  0.0000    6.00   -0.753E-01   -0.397E-04   -0.240E-04    0.487E-01    0.352E-03    0.877E-04    0.700E-02       0.000E+00        1.04    0.000E+00    0.000E+00
  0.0000    6.10   -0.749E-01   -0.398E-04   -0.241E-04    0.504E-01    0.348E-03    0.869E-04    0.689E-02       0.000E+00        1.04    0.000E+00    0.000E+00
  0.0000    6.20   -0.750E-01   -0.399E-04   -0.241E-04    0.524E-01    0.342E-03    0.861E-04    0.677E-02       0.000E+00        1.05    0.000E+00    0.000E+00
  0.0000    6.30   -0.746E-01   -0.400E-04   -0.242E-04    0.540E-01    0.338E-03    0.854E-04    0.667E-02       0.000E+00        1.05    0.000E+00    0.000E+00
  0.0000    6.40   -0.743E-01   -0.401E-04   -0.242E-04    0.540E-01    0.333E-03    0.847E-04    0.656E-02       0.000E+00        1.05    0.000E+00    0.000E+00
  0.0000    6.50   -0.728E-01   -0.402E-04   -0.243E-04    0.559E-01    0.328E-03    0.842E-04    0.646E-02       0.000E+00        1.06    0.000E+00    0.000E+00
  0.0000    6.60   -0.740E-01   -0.403E-04   -0.243E-04    0.573E-01    0.324E-03    0.835E-04    0.636E-02       0.000E+00        1.06    0.000E+00    0.000E+00
  0.0000    6.70   -0.737E-01   -0.404E-04   -0.244E-04    0.587E-01    0.319E-03    0.828E-04    0.627E-02       0.000E+00        1.06    0.000E+00    0.000E+00
  0.0000    6.80   -0.722E-01   -0.404E-04   -0.244E-04    0.590E-01    0.316E-03    0.822E-04    0.618E-02       0.000E+00        1.07    0.000E+00    0.000E+00
  0.0000    6.90   -0.720E-01   -0.406E-04   -0.245E-04    0.604E-01    0.312E-03    0.816E-04    0.609E-02       0.000E+00        1.07    0.000E+00    0.000E+00
  0.0000    7.00   -0.720E-01   -0.406E-04   -0.245E-04    0.620E-01    0.309E-03    0.810E-04    0.600E-02       0.000E+00        1.08    0.000E+00    0.000E+00
  0.0000    7.10   -0.732E-01   -0.407E-04   -0.246E-04    0.633E-01    0.323E-03    0.856E-04    0.635E-02       0.000E+00        1.08    0.000E+00    0.000E+00
  0.0000    7.20   -0.743E-01   -0.408E-04   -0.247E-04    0.632E-01    0.335E-03    0.901E-04    0.671E-02       0.000E+00        1.08    0.000E+00    0.000E+00
  0.0000    7.30   -0.757E-01   -0.408E-04   -0.247E-04    0.647E-01    0.348E-03    0.944E-04    0.704E-02       0.000E+00        1.09    0.000E+00    0.000E+00
  0.0000    7.40   -0.767E-01   -0.409E-04   -0.247E-04    0.659E-01    0.361E-03    0.986E-04    0.736E-02       0.000E+00        1.09    0.000E+00    0.000E+00
