#1) name
#2) HI mass
#3) Uncertainty in %
#4) metallicity 12 + log(O/H)
#5) H2mass,MW CO
#6) H2mass, Z dependent CO
#7) atomic weight
#8) log Dust mass (graphite)
#9) log Dust mass (anorphous carbon)
#10) log Stellar mass
#11) log SFR
NGC1377	0	0	8.29	0	0	1.38	6.53	6.03	9.47	0	0.12
NGC1404	0	0	8.54	0	0	1.39	0	0	11.15	0.7	0
IC0342	9.49e9	16.08	8.46	1.60e9	4.60e9	1.39	7.6	7.23	10.91	0.03	0.05
NGC1482	-8.01e8	0	8.11	3.11e9	4.49e10	1.38	7.4	7.01	10.55	0.46	0.04
NGC1512	7.33e9	16.08	8.56	0	0	1.39	7.73	7.26	10.36	0.52	0.11
NGC2146	3.89e9	22.1	8.68	7.77e10	8.13e10	1.4	7.65	7.26	10.94	0.9	0.04
HoII	4.21e8	23.95	7.72	5.18e6	2.85e8	1.37	4.92	4.52	8.23	1.51	0.26
O053	6.16e7	16.08	7.6	7.60e5	4.17e7	1.37	4.04	3.67	7.24	2.11	0.4
NGC2798	2.13e9	16.08	8.34	3.21e9	1.61e10	1.38	7.11	6.73	10.36	0.39	0.04
NGC2841	8.63e9	16.08	8.54	2.92e9	5.82e9	1.39	7.78	7.42	11.08	0.1	0.06
NGC2915	3.52e8	16.08	7.94	4.34e6	2.39e8	1.38	5.66	5.28	8.49	1.78	0.05
HoI	1.45e8	16.08	7.61	1.79e6	9.85e7	1.37	5.44	5.15	7.84	2.08	0.04
NGC2976	1.27e8	16.08	8.36	5.81e7	2.66e8	1.38	6.33	5.95	9.32	1.11	0.27
NGC3049	1.21e9	16.08	8.53	1.80e8	3.75e8	1.39	7.17	6.76	9.71	0.41	0.16
NGC3077	8.71e8	16.08	8.52	3.80e6	8.32e6	1.39	6.55	5.78	9.46	1.06	0.13
M81wB	1.16e7	16.08	7.84	1.43e5	7.85e6	1.37	5.03	4.66	7.24	2.36	0.1
NGC3190	4.27e8	36.84	8.49	-3.93e8	-9.87e8	1.39	7.25	6.89	10.74	0.47	0.04
NGC3184	3.37e9	16.08	8.51	1.19e9	2.73e9	1.39	7.58	7.25	10.49	0.07	0.08
NGC3198	6.85e9	26.71	8.34	1.30e9	6.53e9	1.38	7.96	7.26	10.35	0.12	0.13
IC2574	1.32e9	16.08	7.85	3.16e6	1.51e8	1.37	6.54	6.06	8.99	1.18	0.1
NGC3265	1.75e8	38.68	8.27	-4.39e8	-3.04e9	1.38	6.42	5.99	9.55	0.65	0.12
NGC3351	1.02e9	16.08	8.6	4.77e8	7.23e8	1.39	7.28	6.88	10.47	0.27	0.05
NGC3521	8.71e9	16.08	8.39	4.77e9	1.90e10	1.38	7.91	7.54	10.99	0.37	0.06
NGC3621	6.99e9	16.08	8.27	0	0	1.38	7.57	6.98	10.2	0.01	0.18
NGC3627	8.46e8	16.08	8.34	3.21e9	1.61e10	1.38	7.6	7.25	10.79	0.29	0.04
NGC3773	9.03e7	16.08	8.43	4.95e7	1.64e8	1.39	5.96	5.54	9.14	0.93	0.06
NGC3938	8.00e9	16.08	8.42	4.38e9	1.52e10	1.38	7.72	7.34	10.6	0.21	0.07
NGC4236	2.69e9	16.08	8.17	9.33e7	1.02e9	1.38	7.06	6.25	9.08	0.87	0.09
NGC4254	3.76e9	16.08	8.45	6.82e9	2.06e10	1.39	7.81	7.46	10.73	0.49	0.05
NGC4321	2.39e9	16.08	8.5	5.34e9	1.28e10	1.39	7.88	7.55	10.86	0.35	0.04
NGC4536	1.73e9	16.08	8.21	1.72e9	1.57e10	1.38	7.6	7.19	10.44	0.17	0.08
NGC4559	4.09e9	16.08	8.29	1.92e8	1.21e9	1.38	7.46	7	9.82	0.4	0.09
NGC4569	1.55e8	16.08	8.58	1.14e9	1.90e9	1.39	7.18	6.79	10.51	0.45	0.04
NGC4579	5.47e8	16.08	8.54	1.89e9	3.77e9	1.39	7.59	7.22	11.03	0.05	0.04
NGC4594	2.60e8	16.08	8.54	2.16e8	4.31e8	1.39	7.28	6.96	11.19	0.75	0.1
NGC4625	1.00e9	16.08	8.35	2.09e7	1.00e8	1.38	6.63	6.01	9.27	1.23	0.13
NGC4631	8.77e9	16.08	8.12	1.10e9	1.52e10	1.38	7.59	7.2	10.44	0.27	0.37
NGC4725	3.59e9	16.08	8.35	2.16e9	1.03e10	1.38	0	0	10.85	0.09	0
NGC4736	4.03e8	16.08	8.31	4.41e8	2.54e9	1.38	0	0	10.51	0.36	0
O154	3.55e8	16.08	7.54	4.37e6	2.40e8	1.37	0	0	7.35	2.24	0
NGC4826	2.77e8	16.08	8.54	4.80e8	9.58e8	1.39	6.6	6.31	10.48	0.57	0.06
O165	1.12e8	14.74	7.63	1.38e6	7.60e7	1.37	0	0	8.01	2.3	0
NGC5055	5.59e9	16.08	8.4	2.73e9	1.04e10	1.38	7.76	7.46	10.77	0.11	0.06
NGC5398	2.48e8	11.97	8.35	0	0	1.38	6.78	6.43	8.99	1.18	0.06
NGC5408	3.22e8	16.08	7.81	3.97e6	2.18e8	1.37	5.64	5.2	8.6	1.06	0.04
NGC5457	1.16e10	16.08	8.42	0	0	1.38	8.16	7.53	10.67	0.32	0.16
NGC5713	5.51e9	16.08	8.24	3.39e9	2.69e10	1.38	7.43	7.04	10.5	0.32	0.04
NGC5866	-2.85e8	0	8.47	6.38e8	1.76e9	1.39	6.78	6.45	10.8	0.38	0.05
NGC6946	3.58e9	16.08	8.4	4.50e9	1.71e10	1.38	7.85	7.47	10.77	0.53	0.03
NGC7331	8.85e9	16.08	8.34	6.70e9	3.36e10	1.38	8.08	7.72	11.15	0.49	0.06
NGC7793	8.75e8	16.08	8.31	0	0	1.38	7.24	6.79	9.72	0.57	0.08
#G11											
M83	5.13e9	5	8.62	8.65e8	1.19e9	1.39	7.0413926852	0	0	0	0.0339863652
NGC1808	1.78e9	9.46	9.1	1.75e9	2.64e8	1.44	7.4048337166	0	0	0	0.1278819435
NGC7552	4.79e9	16.08	8.35	0	0	1.38	7.8597385662	0	0	0	0.0648322197
M82	8.91e8	10.29	8.51	4.43e8	1.01e9	1.39	6.8356905715	0	0	0	0.1239169435
NGC1068	2.24e9	18.35	9	7.26e9	1.74e9	1.43	8.4424797691	0	0	0	0.1336985461
NGC0891	7.59e9	16.08	8.9	5.75e9	2.19e9	1.42	7.7664128471	0	0	0	0.0485971584
MCG0204025	1.74e9	16.08	8.52	0	0	1.39	8.0043213738	0	0	0	0.1675536212
NGC7469	1.51e9	16.08	8.7	6.28e9	6.00e9	1.4	8.1903316982	0	0	0	0.0761304945
NGC5256	0	0	8.53	9.92e9	2.07e10	1.39	8.3031960574	0	0	0	0.2120010575
NGC5953	5.75e8	16.08	8.73	1.62e9	1.34e9	1.4	7.3521825181	0	0	0	0.0751818546
M51	5.01e9	5.63	8.55	3.95e9	7.53e9	1.39	8.5728716022	0	0	0	0.0857185952
NGC3995	6.17e9	16.08	8.66	0	0	1.4	7.7596678447	0	0	0	0.0915614481
NGC3994	2.82e9	16.08	8.61	0	0	1.39	7.7218106152	0	0	0	0.1297221087
NGC6052	3.80e9	16.08	8.65	3.00e9	3.61e9	1.4	7.7664128471	0	0	0	0.1224780147
NGC1222	1.20e9	16.08	8.57	7.23e8	1.26e9	1.39	7.123851641	0	0	0	0.1028108909
NGC7674	1.07e10	16.08	8.14	6.34e9	7.99e10	1.38	7.9925535178	0	0	0	0.1129064903
NGC4670	1.66e8	16.08	8.3	9.00e6	5.42e7	1.38	6.0530784435	0	0	0	0.0832158622
