#0) name												
#1) HI mass												
#2) Uncertainty in %												
#3) metallicity 12 + log(O/H)												
#4) H2mass,MW CO												
#5) H2mass, Z dependent CO												
#6) atomic weight												
#7) log Dust mass (graphite)												
#8) Uncertainty in %												
#9) log Dust mass (anorphous carbon)												
#10) log Stellar mass												
#11) log SFR
#12) Unknown
#13) Hubble type
#14) Category: 1)E	2)S0	3)Sa-Sab	4)Sb-Sc		5)Scd-Sdm	6)Sm-Irr	7)WR	8)BCD	
#15) log(B/D) based on Graham et al. (2008)
						
#UM461	7.31E+07	5	7.73	1.66E+06	9.09E+07	1.37	4.22	0	3.84	7.66	1.42	0.22	
#VIIZw403	3.25E+07	8.28	7.66	6.41E+05	3.52E+07	1.37	4.06	0	3.66	7.21	1.89	0.14	pec
NGC0337	3.34E+09	11.97	8.18	-6.98E+08	-7.31E+09	1.38	7.28	8.14	6.87	10.11	0.18	0.08	SBd	5	-1.06
NGC0584	1.58E+08	35.92	8.43	-4.78E+08	-1.58E+09	1.39	0	0.00	0	10.87	1.15	0	E4	1	-0.54
NGC0628	3.72E+09	16.08	8.35	8.71E+08	4.17E+09	1.38	7.46	12.42	7.08	10.29	0.14	0.06	SAc	4	-1.06
NGC0855	1.32E+08	29.47	8.29	-8.91E+07	-5.62E+08	1.38	6.18	22.90	5.76	9.2	1.27	0.07	E	1	-0.54
NGC0925	4.56E+09	16.08	8.25	6.14E+08	4.66E+09	1.38	7.89	14.44	7.49	9.97	0.24	0.05	SABd	5	-1.06
NGC1097	7.56E+09	16.08	8.47	1.67E+08	4.59E+08	1.39	7.93	8.05	7.54	11	0.48	0.05	SBb	4	-0.6
NGC1266	0	0	8.29	1.33E+09	8.39E+09	1.38	6.92	7.27	6.55	10.18	0.17	0.04	SB0	2	-0.31
NGC1291	1.78E+09	16.08	8.52	0	0	1.39	7.29	15.67	6.86	11.02	0.47	0.18	SBa	3	-0.34
NGC1316	-4.73E+08	0	8.77	0	0	1.4	0	10.99	0	11.68	0.4	0	SAB0	2	-0.31
NGC1377	0	0	8.29	0	0	1.38	6.53	10.67	6.03	9.47	0	0.12	S0	2	-0.31
NGC1404	0	0	8.54	0	0	1.39	0	0.00	0	11.15	0.7	0	E1	1	-0.54
IC0342	9.49E+09	16.08	8.46	1.60E+09	4.60E+09	1.39	7.6	7.34	7.23	10.91	0.03	0.05	SAB(rs)cd	5	-1.23
NGC1482	-8.01E+08	0	8.11	3.11E+09	4.49E+10	1.38	7.4	7.91	7.01	10.55	0.46	0.04	SA0	2	-0.31
NGC1512	7.33E+09	16.08	8.56	0	0	1.39	7.73	27.99	7.26	10.36	0.52	0.11	SBab	3	-0.54
